date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
09-02-2020 14.15,DundalksNews,,0,0,3,Some big names going down today Shane Ross (Ind) Regina Doherty (FG) Stephen Donnelly (FF) Joan Burton (Lab) Kate O'Connell (FG) Paul Murphy (Ind) Lisa Chambers (FF) Katherine Zappone (Ind) Noel Rock (FG) #GE20 #GE2020,,,#GE20 #GE2020,1226509830137040000.00,https://twitter.com/DundalksNews/status/1226509830137040896
09-02-2020 14.13,LaobhaoiseNihE,,3,0,6,"The battle for the 4th seat in Mayo is going to be a complete battle, we badly need to get another seat in North Mayo. #GE2020 #GE20 #GeneralElection2020 #Elections2020",,,#GE2020 #GE20 #GeneralElection2020 #Elections2020,1226509495205000000.00,https://twitter.com/LaobhaoiseNihE/status/1226509495205007360
09-02-2020 14.12,zwitterio,Berlinnaeus,0,1,4,Renua Undo-a And at 51 They are both done and undone #GE2020 #ge20 poetry #clerihew #,,,#GE2020 #ge20 #clerihew,1226509279680700000.00,https://twitter.com/zwitterio/status/1226509279680704518
09-02-2020 14.12,WarrenR1982,SeanDefoe,0,0,0,But he @LeoVaradkar was never our chosen or elected Taoiseach Sean. Big difference. #GE20 #GE2020,,#NAME?,#GE20 #GE2020,1226509246357000000.00,https://twitter.com/WarrenR1982/status/1226509246357004288
09-02-2020 14.11,FrankClunge,,0,0,0,*frank clunge RT @shannonsidenews: Some standout figures so far from #SligoLeitrim #GE20 #GE2020 Martin Kenny SF: 21% Marc MacSharry FF: 14% Eamon S… https://twitter.com/i/web/status/1226508624274608128,,#NAME?,#SligoLeitrim #GE20 #GE2020,1226508875479860000.00,https://twitter.com/FrankClunge/status/1226508875479867392
09-02-2020 14.11,DaranDeRoiste,Independent_ie,0,0,2,I love pieces like this. Just shows how out of touch the are with the electorate #GE2020 #GE20 ,,,#GE2020 #GE20,1226508810136800000.00,https://twitter.com/DaranDeRoiste/status/1226508810136801283
09-02-2020 14.10,shannonsidenews,,1,0,3,Some standout figures so far from #SligoLeitrim #GE20 #GE2020 Martin Kenny SF: 21% Marc MacSharry FF: 14% Eamon Scanlon FF: 13% Marian Harkin IND: 12% Thomas Walsh FG: 10% Frank Feighan FG: 7% Declan Bree IND: 5%,,,#SligoLeitrim #GE20 #GE2020,1226508624274600000.00,https://twitter.com/shannonsidenews/status/1226508624274608128
09-02-2020 14.09,JohnSq64,,3,6,17,Dobson just tried & failed to pronounce Réada Cronin's name on RTE. Too 'foreign sounding' for him 😆 Two hundred grand a year for that. FFS @ReadaCronin @AlvaghCronin #GE20 #GE2020,,#NAME?,#GE20 #GE2020,1226508404799270000.00,https://twitter.com/JohnSq64/status/1226508404799279105
09-02-2020 14.06,DundalksNews,,0,0,3,Count update with 180 boxes tallied #GE20 #GE2020 #Louth #GeneralElection2020 The top five: 1. Imelda Munster - SF 2. Ruairí Ó Murchú - SF 3. Fergus O'Dowd FG 4. Ged Nash - LAB 5. Peter Fitzpatrick IND,,,#GE20 #GE2020 #Louth #GeneralElection2020,1226507594942020000.00,https://twitter.com/DundalksNews/status/1226507594942029828
09-02-2020 14.04,shannonsidenews,,0,0,3,"Overall, this is how things currently stand in #SligoLeitrim #GE20 #GE2020 ",,,#SligoLeitrim #GE20 #GE2020,1226507191626140000.00,https://twitter.com/shannonsidenews/status/1226507191626149890
09-02-2020 14.03,WeeBossDog,,1,0,4,The absolute state of people pretending to be terrified about the Come out ye Black and Tans video #GE2020 #GE20,,,#GE2020 #GE20,1226506844753050000.00,https://twitter.com/WeeBossDog/status/1226506844753059842
09-02-2020 14.01,Tcurran0,,0,0,1,Anywhere between 5 and 6 says Catherine Murphy when asked about seats on #RTE #GE20 #GE2020 Who gets the half seat? ,,,#RTE #GE20 #GE2020,1226506497191960000.00,https://twitter.com/Tcurran0/status/1226506497191968777
09-02-2020 14.01,westmeathindo,,0,0,0,Provisional final tally here for #LDWH #GE20 #GE2020 https://www.westmeathindependent.ie/news/roundup/articles/2020/02/08/4185474-live-updates-longfordwestmeath-election-count/,,,#LDWH #GE20 #GE2020,1226506385770380000.00,https://twitter.com/westmeathindo/status/1226506385770385409
09-02-2020 14.01,shannonsidenews,,0,0,0,All of South Donegal has been tallied also #SligoLeitrim #GE20 #GE2020 ,,,#SligoLeitrim #GE20 #GE2020,1226506382607770000.00,https://twitter.com/shannonsidenews/status/1226506382607777792
09-02-2020 14.00,BillyLinehan,olivercallan,0,1,3,"Making sense of #GE2020, @olivercallan, election lost by @FineGael gov, and SF voted in to deliver on #Housing #dubw #GE20 ",,#NAME?,#GE2020 #Housing #dubw #GE20,1226506174130000000.00,https://twitter.com/BillyLinehan/status/1226506174130008065
09-02-2020 13.59,kamfinsa,fiachkelly,0,0,0,Has a red line already become a grey area? #GE20 #GE2020 ,,,#GE20 #GE2020,1226505995389720000.00,https://twitter.com/kamfinsa/status/1226505995389722624
09-02-2020 13.57,BaldPolitiKs,,0,0,1,Saddened to read so much support for the black and tans among anti-Republican elements #GeneralElection2020 #GE20 #GE2020,,,#GeneralElection2020 #GE20 #GE2020,1226505492559730000.00,https://twitter.com/BaldPolitiKs/status/1226505492559736832
09-02-2020 13.57,BrianFlanagan1,,0,0,1,Who was that smug @FineGael spokes-clown on @RTE1 a few minutes ago? #GE2020 #GE20,,#NAME?,#GE2020 #GE20,1226505357461260000.00,https://twitter.com/BrianFlanagan1/status/1226505357461262336
