date,username,to,replies,retweets,text,mentions,hashtags,permalink
17-02-2020 19.53,darrwynne,SeanCoughlan_,0,0, The best scientific research from the IPCC which lays out the changes that are going to happen to our planet by the end of the century tells us we need to change almost every aspect of our lives dramatically and rapidly. ,,,https://twitter.com/darrwynne/status/1229494117295644673
17-02-2020 19.21,downgerd,DarranMarshall,0,0, A coalition between FF & FG must logically at least lead to talks of a future merger between them and that may be biggest objection to coalition - ideology certainly is not an obstacle ,,,https://twitter.com/downgerd/status/1229486151528042496
17-02-2020 18.02,PMc276,RichardbrutonTD,0,0," Giant posters of Senator Noone in a garden off Artane Roundabout, should be removed by now? ",,,https://twitter.com/PMc276/status/1229466192382918659
17-02-2020 17.26,SeanCoughlan_,SeanCoughlan_,0,0," Spread, grass on a dm basis is over 80%carbon, could the use of N in the correct circumstances actually be reducing atmospheric carbon? ",,,https://twitter.com/SeanCoughlan_/status/1229457081482326016
17-02-2020 17.23,SeanCoughlan_,StuartMMeikle,1,0," How much extra co2 is consumed by the growing plant that has been fertilised relative to the emissions to produce the fertiliser is a more relevant question, if memory serves me correctly, currently theres about a 25/1 return in grass dm for every kilogram of nitrogen 1/2 ",,,https://twitter.com/SeanCoughlan_/status/1229456280999342081
17-02-2020 17.13,SeanCoughlan_,whittledaway,0,0, Do you accept that the targets are only emission based and can you suggest any other carbon emitting industry that also sequesters carbon? ,,,https://twitter.com/SeanCoughlan_/status/1229453745634922502
17-02-2020 17.11,1noeloconnor,1noeloconnor,0,1," And it will be achieved. But society as a whole will continue to add new CO2 to the atmosphere day in, day out and we're going nowhere until that issue is tackled head on and urgently ",,,https://twitter.com/1noeloconnor/status/1229453266146250753
17-02-2020 17.09,1noeloconnor,Friesian_man,1,0," Just on fuel usage, each litre of fuel emits 3kgs of CO2, on average. That's new CO2 coming into the heating equation. Agriculture emits CO2 but it also absorbs CO2 to produce food. Very little Ag emissions are adding to global warming. But we have a huge reduction plan in place ",,,https://twitter.com/1noeloconnor/status/1229452883642454021
17-02-2020 17.04,SeanCoughlan_,StuartMMeikle,1,0, Grassland farmers aren't the sole users of N fert ,,,https://twitter.com/SeanCoughlan_/status/1229451616698413061
17-02-2020 17.02,SeanCoughlan_,StuartMMeikle,0,0, Grass managed correctly will last indefinitely ,,,https://twitter.com/SeanCoughlan_/status/1229451123599212544
17-02-2020 17.00,HaroldKingston1,whittledaway,0,0, That's what the MACC curve is based on ,,,https://twitter.com/HaroldKingston1/status/1229450533368451072
17-02-2020 16.59,Friesian_man,SeanCoughlan_,1,1," Well if the targets are absolute and not relative then they won't do anything to address the issue. Cheap oil, cheap consumables and the throw away culture are really where we should be focusing our efforts, and not using food production to meet ""irrelevant"" targets. ",,,https://twitter.com/Friesian_man/status/1229450341231611904
17-02-2020 16.56,PeterEarle6,SeanCoughlan_,0,0, My point is sometimes we should tolerate inefficiency to allow us to enjoy life and our work experience. Sorry I know l was long winded and then forgot to finish it off. 🙄 ,,,https://twitter.com/PeterEarle6/status/1229449594171510785
17-02-2020 16.50,SeanCoughlan_,PeterEarle6,1,0," I'm lucky enough to have and thoroughly enjoy the most important job in the world, sustaining life. I'm not sure what your point is but it doesn't always have to be me who milks my cows and in my experience only unhappy employees who watch the clock ",,,https://twitter.com/SeanCoughlan_/status/1229448110901989378
17-02-2020 16.49,whittledaway,SeanCoughlan_,1,0," I'm afraid you lost me when you suggested NGOs were taking money from fossil fuel companies but now your saying ""achieving the targets won't help address the issue"". That's bonkers 👋 ",,,https://twitter.com/whittledaway/status/1229447901870469122
17-02-2020 16.43,SeanCoughlan_,whittledaway,2,0," Achieving the targets won't help address the issue, people still need to eat, pushing production to less efficient areas of the world is counter productive ",,,https://twitter.com/SeanCoughlan_/status/1229446258126925827
17-02-2020 16.38,SeanCoughlan_,ByHedge,0,0," I disagree, addressing the rapid rise in co2 in the atmosphere that has occurred due to the burning of fossil fuels that is consuming oxygen and releasing carbon that has been locked up for millions of years which has allowed the world to be habitable would be more productive ",,,https://twitter.com/SeanCoughlan_/status/1229445056068755457
